,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
1661392,"Lead, total",Columbia Basin Waterhub,2,Lead Total
1661641,"Lead, Total",Columbia Basin Waterhub,2,Lead Total
1662720,Lithium,Columbia Basin Waterhub,2,Lithium Total
12,Lithium Dissolved,Environmental Monitoring System,2,Lithium Dissolved
63,Lithium Total,Environmental Monitoring System,2,Lithium Total
1988943,Lithium Total,CABIN,2,Lithium Total
1661330,"Lithium, dissolved",Columbia Basin Waterhub,2,Lithium Dissolved
1661393,"Lithium, total",Columbia Basin Waterhub,2,Lithium Total
1661642,"Lithium, Total",Columbia Basin Waterhub,2,Lithium Total
1662726,Magnesium,Columbia Basin Waterhub,1,Magnesium Total
1988932,Magnesium,CABIN,1,Magnesium Total
92,Magnesium Dissolved,Environmental Monitoring System,1,Magnesium Dissolved
1650,Magnesium Total,Environmental Monitoring System,1,Magnesium Total
1661345,"Magnesium, dissolved",Columbia Basin Waterhub,1,Magnesium Dissolved
1661394,"Magnesium, total",Columbia Basin Waterhub,1,Magnesium Total
1661658,"Magnesium, Total",Columbia Basin Waterhub,1,Magnesium Total
1662732,Manganese,Columbia Basin Waterhub,1,Manganese Total
399,Manganese Dissolved,Environmental Monitoring System,1,Manganese Dissolved
7,Manganese Total,Environmental Monitoring System,1,Manganese Total
1988951,Manganese Total,CABIN,1,Manganese Total
1661346,"Manganese, dissolved",Columbia Basin Waterhub,1,Manganese Dissolved
1661395,"Manganese, total",Columbia Basin Waterhub,1,Manganese Total
1661643,"Manganese, Total",Columbia Basin Waterhub,1,Manganese Total
1662738,Mercury,Columbia Basin Waterhub,2,Mercury Total
64464,Mercury Dissolved,Environmental Monitoring System,2,Mercury Dissolved
51,Mercury Total,Environmental Monitoring System,2,Mercury Total
1991127,Mercury Total,CABIN,2,Mercury Total
1661347,"Mercury, dissolved",Columbia Basin Waterhub,2,Mercury Dissolved
1661396,"Mercury, total",Columbia Basin Waterhub,2,Mercury Total
1662049,"Mercury, Total",Columbia Basin Waterhub,2,Mercury Total
1662744,Molybdenum,Columbia Basin Waterhub,1,Molybdenum Total
94,Molybdenum Dissolved,Environmental Monitoring System,1,Molybdenum Dissolved
68,Molybdenum Total,Environmental Monitoring System,1,Molybdenum Total
1988921,Molybdenum Total,CABIN,1,Molybdenum Total
1661348,"Molybdenum, dissolved",Columbia Basin Waterhub,1,Molybdenum Dissolved
1661397,"Molybdenum, total",Columbia Basin Waterhub,1,Molybdenum Total
1661644,"Molybdenum, Total",Columbia Basin Waterhub,1,Molybdenum Total
1662750,Nickel,Columbia Basin Waterhub,1,Nickel Total
72,Nickel Dissolved,Environmental Monitoring System,1,Nickel Dissolved
2,Nickel Total,Environmental Monitoring System,1,Nickel Total
1988922,Nickel Total,CABIN,1,Nickel Total
1661349,"Nickel, dissolved",Columbia Basin Waterhub,1,Nickel Dissolved
1661398,"Nickel, total",Columbia Basin Waterhub,1,Nickel Total
